Year_Month,Warehouse_Code,Tasks_Assigned,Tasks_Completed,Avg_Assigned_Qty,Total_Movements,Inward_Movements,Outward_Movements,Total_Quantity_Moved,Mismatch_Count,Discrepancy_Count,Total_Variance,Validations_Done,Validation_Failures,Task_Completion_Rate_%,Mismatch_Rate_%,Validation_Failure_Rate_%
2024-04,WH_MUM_01,330,285,20.033333333333335,392,183,209,7550,31,48,-36,421,84,86.36,7.91,19.95
2024-04,WH_NAG_01,326,285,20.426380368098158,407,211,196,8003,43,53,-7,421,84,87.42,10.57,19.95
2024-04,WH_PUN_01,325,273,20.45230769230769,395,215,180,7611,26,41,14,421,84,84.0,6.58,19.95
2024-05,WH_BLR_01,337,278,19.9080118694362,409,187,222,7884,38,57,22,456,100,82.49,9.29,21.93
2024-05,WH_CHN_01,365,312,19.45205479452055,394,196,198,7474,29,39,6,456,100,85.48,7.36,21.93
2024-05,WH_DEL_01,351,292,20.444444444444443,390,197,193,7817,43,51,2,456,100,83.19,11.03,21.93
2024-05,WH_MUM_01,362,313,20.027624309392266,429,218,211,8468,40,46,-51,456,100,86.46,9.32,21.93
2024-05,WH_NAG_01,394,347,19.621827411167512,435,210,225,8253,34,41,-22,456,100,88.07,7.82,21.93
2024-05,WH_PUN_01,357,310,20.719887955182074,413,211,202,8098,36,39,-38,456,100,86.83,8.72,21.93
2024-06,WH_BLR_01,315,275,20.215873015873015,410,193,217,7556,39,51,-20,448,95,87.3,9.51,21.21
2024-06,WH_CHN_01,332,266,20.93975903614458,425,215,210,8171,50,59,-93,448,95,80.12,11.76,21.21
2024-06,WH_DEL_01,342,276,20.751461988304094,410,198,212,8256,35,45,21,448,95,80.7,8.54,21.21
2024-06,WH_MUM_01,349,294,19.845272206303726,405,206,199,8074,30,42,-56,448,95,84.24,7.41,21.21
2024-06,WH_NAG_01,347,292,19.827089337175792,433,210,223,8258,45,47,139,448,95,84.15,10.39,21.21
2024-06,WH_PUN_01,353,303,20.592067988668557,402,190,212,8156,37,51,-21,448,95,85.84,9.2,21.21
2024-07,WH_BLR_01,383,320,21.362924281984334,417,209,208,8092,44,57,-90,424,70,83.55,10.55,16.51
2024-07,WH_CHN_01,338,292,20.032544378698226,378,180,198,7569,46,58,-60,424,70,86.39,12.17,16.51
2024-07,WH_DEL_01,354,310,20.09039548022599,421,187,234,8568,44,50,8,424,70,87.57,10.45,16.51
2024-07,WH_MUM_01,366,313,20.103825136612024,425,225,200,8263,41,54,-14,424,70,85.52,9.65,16.51
2024-07,WH_NAG_01,355,294,19.23098591549296,408,204,204,8006,42,49,-12,424,70,82.82,10.29,16.51
2024-07,WH_PUN_01,351,291,19.544159544159545,434,192,242,8643,35,48,-21,424,70,82.91,8.06,16.51
2024-08,WH_BLR_01,306,253,19.130718954248366,453,200,253,8970,51,65,62,434,96,82.68,11.26,22.12
2024-08,WH_CHN_01,339,296,20.309734513274336,404,209,195,8076,38,50,28,434,96,87.32,9.41,22.12
2024-08,WH_DEL_01,376,321,19.85904255319149,378,180,198,7359,29,44,-44,434,96,85.37,7.67,22.12
2024-08,WH_MUM_01,371,322,20.587601078167115,441,211,230,8984,33,48,30,434,96,86.79,7.48,22.12
2024-08,WH_NAG_01,333,275,20.21021021021021,430,218,212,8379,48,59,-48,434,96,82.58,11.16,22.12
2024-08,WH_PUN_01,355,297,20.11830985915493,446,209,237,8908,52,67,-47,434,96,83.66,11.66,22.12
2024-09,WH_BLR_01,360,297,19.794444444444444,416,194,222,7990,38,54,-63,397,100,82.5,9.13,25.19
2024-09,WH_CHN_01,356,289,19.640449438202246,401,188,213,7685,39,45,-53,397,100,81.18,9.73,25.19
2024-09,WH_DEL_01,348,302,21.336206896551722,390,181,209,7648,32,40,-63,397,100,86.78,8.21,25.19
2024-09,WH_MUM_01,328,285,19.990853658536587,409,188,221,8055,38,47,-26,397,100,86.89,9.29,25.19
2024-09,WH_NAG_01,371,313,19.587601078167115,380,199,181,7328,36,45,37,397,100,84.37,9.47,25.19
2024-09,WH_PUN_01,344,298,20.497093023255815,401,207,194,7563,44,56,55,397,100,86.63,10.97,25.19
2024-10,WH_BLR_01,349,297,20.54727793696275,463,229,234,8835,42,49,10,403,87,85.1,9.07,21.59
2024-10,WH_CHN_01,344,294,20.70639534883721,414,197,217,8124,53,69,61,403,87,85.47,12.8,21.59
2024-10,WH_DEL_01,368,320,19.86413043478261,438,202,236,8699,34,46,-7,403,87,86.96,7.76,21.59
2024-10,WH_MUM_01,358,311,20.027932960893853,413,195,218,8177,41,55,-12,403,87,86.87,9.93,21.59
2024-10,WH_NAG_01,371,318,19.851752021563343,448,215,233,8064,50,59,59,403,87,85.71,11.16,21.59
2024-10,WH_PUN_01,312,267,20.689102564102566,456,208,248,8863,51,62,-25,403,87,85.58,11.18,21.59
2024-11,WH_BLR_01,321,282,19.130841121495326,385,187,198,7531,48,54,-37,432,90,87.85,12.47,20.83
2024-11,WH_CHN_01,347,294,20.80115273775216,435,219,216,8687,41,52,-76,432,90,84.73,9.43,20.83
2024-11,WH_DEL_01,322,272,20.6055900621118,437,219,218,8709,41,53,-62,432,90,84.47,9.38,20.83
2024-11,WH_MUM_01,350,288,20.12857142857143,434,195,239,8447,53,69,-8,432,90,82.29,12.21,20.83
2024-11,WH_NAG_01,331,281,19.915407854984895,432,216,216,7993,41,55,-34,432,90,84.89,9.49,20.83
2024-11,WH_PUN_01,336,275,20.19047619047619,405,191,214,8037,34,43,-22,432,90,81.85,8.4,20.83
2024-12,WH_BLR_01,390,324,20.602564102564102,432,189,243,8235,45,53,39,428,109,83.08,10.42,25.47
2024-12,WH_CHN_01,360,307,20.719444444444445,418,209,209,8104,38,50,-114,428,109,85.28,9.09,25.47
2024-12,WH_DEL_01,357,307,20.243697478991596,446,223,223,8417,52,63,-12,428,109,85.99,11.66,25.47
2024-12,WH_MUM_01,304,261,20.667763157894736,411,210,201,7645,39,51,20,428,109,85.86,9.49,25.47
2024-12,WH_NAG_01,358,304,19.860335195530727,423,185,238,8058,38,51,65,428,109,84.92,8.98,25.47
2024-12,WH_PUN_01,327,279,20.483180428134556,456,218,238,8743,37,51,-12,428,109,85.32,8.11,25.47
